iter	Passed	Remaining
1314	134950	70297
1315	135056	70196
1316	135161	70095
1317	135267	69994
1318	135373	69893
1319	135478	69792
1320	135584	69690
1321	135688	69589
1322	135803	69492
1323	135909	69392
1324	136022	69294
1325	136130	69194
1326	136240	69095
1327	136350	68996
1328	136456	68895
1329	136565	68796
1330	136675	68697
1331	136787	68599
1332	136896	68499
1333	137002	68398
1334	137109	68298
1335	137215	68197
1336	137332	68101
1337	137438	68000
1338	137552	67903
1339	137672	67808
1340	137786	67711
1341	137893	67611
1342	138004	67512
1343	138119	67415
1344	138233	67317
1345	138342	67218
1346	138453	67119
1347	138559	67018
1348	138665	66917
1349	138772	66816
1350	138884	66718
1351	138988	66615
1352	139095	66515
1353	139212	66418
1354	139324	66320
1355	139432	66220
1356	139538	66118
1357	139644	66017
1358	139751	65916
1359	139857	65815
1360	139965	65714
1361	140070	65612
1362	140177	65512
1363	140282	65410
1364	140394	65311
1365	140501	65211
1366	140612	65111
1367	140730	65015
1368	140841	64916
1369	140948	64815
1370	141056	64715
1371	141171	64617
1372	141284	64519
1373	141393	64419
1374	141500	64318
1375	141607	64217
1376	141722	64119
1377	141826	64017
1378	141933	63916
1379	142042	63816
1380	142148	63714
1381	142253	63612
1382	142357	63510
1383	142462	63408
1384	142568	63306
1385	142674	63204
1386	142784	63105
1387	142892	63004
1388	143000	62903
1389	143107	62802
1390	143216	62702
1391	143323	62600
1392	143432	62500
1393	143541	62400
1394	143649	62299
1395	143756	62198
1396	143865	62097
1397	143972	61996
1398	144081	61896
1399	144188	61795
1400	144304	61697
1401	144411	61596
1402	144519	61495
1403	144626	61394
1404	144733	61292
1405	144840	61191
1406	144947	61090
1407	145054	60988
1408	145160	60887
1409	145268	60785
1410	145375	60684
1411	145481	60583
1412	145588	60481
1413	145694	60379
1414	145801	60278
1415	145906	60176
1416	146012	60074
1417	146118	59972
1418	146225	59871
1419	146331	59769
1420	146439	59668
1421	146546	59566
1422	146653	59465
1423	146758	59363
1424	146865	59261
1425	146973	59160
1426	147080	59058
1427	147187	58957
1428	147294	58855
1429	147402	58754
1430	147512	58654
1431	147620	58553
1432	147730	58453
1433	147838	58351
1434	147945	58250
1435	148058	58151
1436	148167	58050
1437	148278	57950
1438	148388	57849
1439	148499	57749
1440	148607	57648
1441	148716	57547
1442	148828	57447
1443	148937	57347
1444	149044	57245
1445	149151	57143
1446	149259	57042
1447	149368	56941
1448	149477	56840
1449	149584	56739
1450	149730	56651
1451	149884	56568
1452	149993	56466
1453	150108	56368
1454	150239	56275
1455	150365	56180
1456	150491	56085
1457	150605	55986
1458	150718	55886
1459	150829	55786
1460	150941	55686
1461	151049	55584
1462	151155	55482
1463	151263	55380
1464	151370	55278
1465	151483	55179
1466	151588	55076
1467	151695	54974
1468	151806	54873
1469	151912	54771
1470	152019	54669
1471	152126	54566
1472	152234	54465
1473	152342	54363
1474	152457	54264
1475	152565	54162
1476	152671	54060
1477	152779	53958
1478	152889	53857
1479	153003	53757
1480	153116	53658
1481	153227	53557
1482	153335	53455
1483	153442	53353
1484	153557	53254
1485	153667	53152
1486	153783	53053
1487	153891	52951
1488	154000	52850
1489	154108	52748
1490	154216	52646
1491	154323	52544
1492	154430	52442
1493	154537	52340
1494	154648	52239
1495	154756	52137
1496	154863	52035
1497	154971	51933
1498	155079	51831
1499	155186	51728
1500	155294	51626
1501	155402	51524
1502	155509	51422
1503	155618	51321
1504	155728	51219
1505	155834	51117
1506	155941	51014
1507	156050	50913
1508	156159	50811
1509	156268	50709
1510	156396	50614
1511	156512	50514
1512	156622	50413
1513	156732	50311
1514	156843	50210
1515	156955	50109
1516	157062	50007
1517	157173	49906
1518	157281	49804
1519	157390	49702
1520	157498	49599
1521	157607	49498
1522	157720	49397
1523	157831	49296
1524	157945	49196
1525	158055	49094
1526	158164	48992
1527	158270	48889
1528	158378	48787
1529	158485	48685
1530	158592	48582
1531	158699	48480
1532	158808	48377
1533	158916	48275
1534	159023	48173
1535	159131	48070
1536	159238	47968
1537	159344	47865
1538	159453	47763
1539	159559	47660
1540	159672	47559
1541	159834	47473
1542	159991	47385
1543	160106	47285
1544	160215	47183
1545	160324	47081
1546	160437	46980
1547	160547	46878
1548	160658	46776
1549	160771	46675
1550	160879	46572
1551	160986	46470
1552	161094	46367
1553	161202	46265
1554	161310	46162
1555	161419	46060
1556	161527	45958
1557	161633	45855
1558	161745	45753
1559	161857	45652
1560	161966	45549
1561	162073	45447
1562	162181	45344
1563	162289	45241
1564	162397	45139
1565	162503	45036
1566	162611	44933
1567	162717	44830
1568	162826	44727
1569	162934	44625
1570	163043	44522
1571	163149	44419
1572	163257	44317
1573	163369	44215
1574	163476	44112
1575	163581	44009
1576	163689	43906
1577	163796	43803
1578	163902	43700
